Year,Month,THUL
2018,11,129.514
2018,12,129.394
2019,1,129.593
2019,2,129.683
2019,3,130.289
2019,4,129.897
2019,5,128.266
2019,6,129.402
2019,7,129.016
2019,8,129.021
2019,9,129.707
2019,10,129.567
2019,11,129.827
2019,12,129.29
2020,1,129.142
2020,2,129.404
2020,3,129.498
2020,4,129.412
2020,5,130.104
2020,6,130.182
2020,7,129.79
2020,8,129.834
2020,9,130.2
2020,10,129.944
2020,11,130.253
2020,12,129.203
2021,1,128.446
2021,2,128.087
2021,3,128.738
2021,4,128.748
2021,5,129.268
2021,6,129.399
2021,7,128.579
2021,8,129.071
2021,9,129.167
2021,10,128.811
2021,11,128.177
2021,12,129.044
2022,1,128.673
2022,2,128.258
2022,3,127.563
2022,4,126.138
2022,5,124.724
2022,6,123.156
2022,7,121.43
