Year,Month,SNAE
1997,8,173.669
1997,9,172.354
1997,10,171.798
1997,11,169.275
1997,12,0
1998,1,170.852
1998,2,169.357
1998,3,170.873
1998,4,166.485
1998,5,162.737
1998,6,164.224
1998,7,165.957
1998,8,164.231
1998,9,166.388
1998,10,167.39
1998,11,165.712
1998,12,163.547
1999,1,160.621
1999,2,159.087
1999,3,160.973
1999,4,162.607
1999,5,161.887
1999,6,164.205
1999,7,165.092
1999,8,160.952
1999,9,157.327
1999,10,155.529
1999,11,154.611
1999,12,153.549
2000,1,154.173
2000,2,152.571
2000,3,149.643
2000,4,150.177
2000,5,146.437
2000,6,144.524
2000,7,142.265
2000,8,143.625
2000,9,145.095
2000,10,149.033
2000,11,144.168
2000,12,146.81
2001,1,148.151
2001,2,152
2001,3,153.76
2001,4,145.665
2001,5,149.927
2001,6,150.294
2001,7,151.345
2001,8,149.168
2001,9,149.328
2001,10,146.248
2001,11,149.788
2001,12,151.059
2002,1,146.946
2002,2,151.386
2002,3,149.805
2002,4,148.518
2002,5,148.977
2002,6,150.151
2002,7,148.246
2002,8,144.937
2002,9,147.73
2002,10,147.541
2002,11,146.013
2002,12,146.974
2003,1,148.511
2003,2,147.838
2003,3,148.615
2003,4,147.642
2003,5,146.078
2003,6,143.45
2003,7,146.756
2003,8,148.537
2003,9,150.254
2003,10,148.018
2003,11,138.426
2003,12,147.458
2004,1,146.987
2004,2,151.982
2004,3,155.745
2004,4,157.092
2004,5,159.129
2004,6,159.916
2004,7,157.119
2004,8,158.925
2004,9,159.831
2004,10,163.889
2004,11,158.613
2004,12,160.103
2005,1,152.693
2005,2,157.77
2005,3,158.861
2005,4,160.661
2005,5,156.905
2005,6,160.436
2005,7,160.838
2005,8,158.884
2005,9,154.579
2005,10,162.016
2005,11,163.98
2005,12,162.634
2006,1,163.656
2006,2,166.899
2006,3,168.202
2006,4,168.979
2006,5,170.654
2006,6,171.605
2006,7,169.637
2006,8,168.462
2006,9,169.604
2006,10,171.614
2006,11,170.46
2006,12,166.782
2007,1,169.788
2007,2,170.109
2007,3,170.977
2007,4,172.456
2007,5,172.895
2007,6,172.843
2007,7,173.153
2007,8,173.15
2007,9,173.743
2007,10,173.852
2007,11,172.175
2007,12,173.867
2008,1,172.309
2008,2,172.171
2008,3,171.414
2008,4,171.802
2008,5,171.876
2008,6,172.688
2008,7,174.067
2008,8,175.204
2008,9,175.75
2008,10,175.501
2008,11,176.067
2008,12,176.572
2009,1,176.427
2009,2,177.526
2009,3,178.334
2009,4,178.875
2009,5,178.06
2009,6,179.084
2009,7,179.643
2009,8,179.286
2009,9,179.626
2009,10,179.291
2009,11,178.9
2009,12,179.589
2010,1,177.589
2010,2,175.06
2010,3,174.501
2010,4,172.034
2010,5,173.171
2010,6,173.933
2010,7,175.235
2010,8,173.432
2010,9,172.949
2010,10,173.446
2010,11,172.659
2010,12,170.73
2011,1,171.968
2011,2,172.103
2011,3,169.474
2011,4,165.895
2011,5,168.851
2011,6,164.317
2011,7,165.724
2011,8,166.701
2011,9,166.145
2011,10,165.031
2011,11,166.39
2011,12,168.791
2012,1,167.749
2012,2,164.395
2012,3,159.704
2012,4,166.224
2012,5,166.701
2012,6,163.757
2012,7,160.257
2012,8,160.775
2012,9,163.226
2012,10,163.058
2012,11,162.623
2012,12,163.703
2013,1,164.79
2013,2,165.23
2013,3,162.968
2013,4,162.242
2013,5,157.886
2013,6,156.205
2013,7,159.997
2013,8,160.078
2013,9,159.953
2013,10,161.89
2013,11,160.797
2013,12,159.046
2014,1,158.951
2014,2,156.867
2014,3,157.431
2014,4,157.867
2014,5,159.689
2014,6,158.122
2014,7,0
2014,8,161.446
2014,9,159.253
2014,10,159.58
2014,11,158.268
2014,12,154.756
2015,1,157.01
2015,2,158.431
2015,3,156.18
2015,4,156.772
2015,5,160.173
2015,6,159.091
2015,7,161.593
2015,8,162.457
2015,9,161.11
2015,10,161.026
2015,11,161.046
2015,12,162.576
2016,1,165.248
2016,2,166.75
2016,3,166.761
2016,4,166.379
2016,5,167.373
2016,6,168.849
2016,7,168.891
2016,8,169.496
2016,9,169.808
2016,10,170.988
2016,11,170.748
2016,12,171.577
2017,1,172.131
2017,2,171.723
2017,3,172.014
2017,4,170.318
2017,5,170.942
2017,6,172.713
2017,7,171.645
2017,8,171.444
2017,9,168.664
2017,10,169.044
2017,11,170.686
2017,12,171.652
2018,1,172.714
2018,2,0
2018,3,0
2018,4,0
2018,5,0
2018,6,0
2018,7,0
2018,8,0
2018,9,0
2018,10,0
2018,11,0
2018,12,0
2019,1,0
2019,2,0
2019,3,0
2019,4,0
2019,5,141.417
2019,6,141.629
2019,7,145.503
2019,8,145.61
2019,9,146.5
2019,10,0
2019,11,145.963
2019,12,143.433
2020,1,143.128
2020,2,145.595
2020,3,141.333
2020,4,144.969
2020,5,146.022
2020,6,0
2020,7,0
2020,8,0
2020,9,0
2020,10,0
2020,11,0
2020,12,0
2021,1,0
2021,2,0
2021,3,0
2021,4,0
2021,5,0
2021,6,0
2021,7,0
2021,8,0
2021,9,0
2021,10,0
2021,11,0
2021,12,0
2022,1,0
2022,2,0
2022,3,0
2022,4,0
2022,5,0
2022,6,0
2022,7,0
