Year,Month,Data
2007,8,-0.193548387
2007,9,-1.277777778
2007,10,0.708333333
2007,11,-0.928571429
2007,12,-1.36
2008,1,2.8125
2008,2,-1.47826087
2008,3,0.066666667
2008,4,0.379310345
2008,5,-0.3
2008,6,-2.066666667
2008,7,-3.483870968
2008,8,-4.193548387
2008,9,-4.827586207
2008,10,-3.642857143
2008,11,-0.708333333
2008,12,1.75
2009,1,-1.708333333
2009,2,-2.85
2009,3,-0.62962963
2009,4,0.777777778
2009,5,-0.269230769
2009,6,-1.75862069
2009,7,-0.774193548
2009,8,-2.928571429
2009,9,-2.034482759
2009,10,-1.862068966
2009,11,-1.275862069
2009,12,2.666666667
2010,1,-3.722222222
2010,2,-1.5
2010,3,-1.769230769
2010,4,-5.083333333
2010,5,-4.071428571
2010,6,-2.533333333
2010,7,-3.677419355
2010,8,-3.6
2010,9,-10.1
2010,10,-4.807692308
2010,11,-7.291666667
2010,12,-1.833333333
2011,1,-7.1
2011,2,-8.523809524
2011,3,-5.173913043
2011,4,-10.82142857
2011,5,-4.185185185
2011,6,-6
2011,7,-7.096774194
2011,8,-4.967741935
2011,9,-2.724137931
2011,10,-2.7
2011,11,-9.4
2011,12,-13.88461538
2012,1,-9.961538462
2012,2,-10.6
2012,3,-11.9375
2012,4,-7.92
2012,5,-6.896551724
2012,6,-18.24137931
2012,7,-25.5483871
2012,8,-9.103448276
2012,9,-5.068965517
2012,10,-0.928571429
2012,11,-4.875
2012,12,-2.15
2013,1,-1.5
2013,2,1.173913043
2013,3,4.76
2013,4,-5.827586207
2013,5,-2.533333333
2013,6,-3.153846154
2013,7,1.80952381
2013,8,-3.580645161
2013,9,2.068965517
2013,10,-2.838709677
2013,11,-0.814814815
2013,12,-0.318181818
2014,1,-16.80769231
2014,2,2.294117647
2014,3,0.666666667
2014,4,-0.428571429
2014,5,3.566666667
2014,6,2.766666667
2014,7,9.096774194
2014,8,22.83870968
2014,9,-4.47826087
2014,10,33.96428571
2014,11,25.47368421
2014,12,9.333333333
2015,1,4.708333333
2015,2,-10.05555556
2015,3,9
2015,4,12.78571429
2015,5,4.541666667
2015,6,7.285714286
2015,7,3.25
2015,8,15.38709677
2015,9,13
2015,10,21.17241379
2015,11,17.21428571
2015,12,38
